historico;horas_voadas;aeronave;numero_db;base;data_voo;origem;destino;passageiro;cargo_passageiro;orgao_passageiro
"Traslado do Exmo. Governador de Minas e comitiva para anuncio de investimentos para a Universidade Federal de Uberlândia, entrega de kits da Defesa Civil para municípios da Região e acompanhamento da vacinação contra covid-19 na Arena Sabiazinho, em Uberlândia (MG); Anúncio de obras de infraestrutura para recuperação funcional da MGC-497 e visita a Cooprata, em Prata (MG); e Reunião com Prefeitos da microrregião de Ituiutaba.";00:35:00;PT-MGS - PT-MGS;0081-2021;DTA;2021-10-30;ITUIUTABA;ARAXA;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
"Traslado do Exmo. Governador de Minas e comitiva para anuncio de investimentos para a Universidade Federal de Uberlândia, entrega de kits da Defesa Civil para municípios da Região e acompanhamento da vacinação contra covid-19 na Arena Sabiazinho, em Uberlândia (MG); Anúncio de obras de infraestrutura para recuperação funcional da MGC-497 e visita a Cooprata, em Prata (MG); e Reunião com Prefeitos da microrregião de Ituiutaba.";00:35:00;PT-MGS - PT-MGS;0081-2021;DTA;2021-10-30;ITUIUTABA;ARAXA;Marcelo Barbosa;Analista de Mídias Sociais;Secretaria Geral do Estado de Minas Gerais
"Traslado do Exmo. Governador de Minas e comitiva para anuncio de investimentos para a Universidade Federal de Uberlândia, entrega de kits da Defesa Civil para municípios da Região e acompanhamento da vacinação contra covid-19 na Arena Sabiazinho, em Uberlândia (MG); Anúncio de obras de infraestrutura para recuperação funcional da MGC-497 e visita a Cooprata, em Prata (MG); e Reunião com Prefeitos da microrregião de Ituiutaba.";00:35:00;PT-MGS - PT-MGS;0081-2021;DTA;2021-10-30;ITUIUTABA;ARAXA;Rodrigo Freitas Gomes;Assessor Especial;Secretaria de Estado de Governo de Minas Gerais
"Traslado do Exmo. Governador de Minas e comitiva para anuncio de investimentos para a Universidade Federal de Uberlândia, entrega de kits da Defesa Civil para municípios da Região e acompanhamento da vacinação contra covid-19 na Arena Sabiazinho, em Uberlândia (MG); Anúncio de obras de infraestrutura para recuperação funcional da MGC-497 e visita a Cooprata, em Prata (MG); e Reunião com Prefeitos da microrregião de Ituiutaba.";00:35:00;PT-MGS - PT-MGS;0081-2021;DTA;2021-10-30;ITUIUTABA;ARAXA;Romeu Zema Neto;Governador de Minas Gerais;Secretaria Geral do Estado de Minas Gerais
Traslado do exmo. Governador de Minas e Comitiva para Brasília em Missão Oficial.;01:24:00;PT-MGS - PT-MGS;0087-2021;DTA;2021-11-23;BELO HORIZONTE;BRASILIA;Andreza Gischewski Costa;Assessora de Imprensa;Secretaria Geral do Estado de Minas Gerais
Traslado do exmo. Governador de Minas e Comitiva para Brasília em Missão Oficial.;01:35:00;PT-MGS - PT-MGS;0088-2021;DTA;2021-11-23;BRASILIA;BELO HORIZONTE;Andreza Gischewski Costa;Assessora de Imprensa;Secretaria Geral do Estado de Minas Gerais
Traslado do exmo. Governador de Minas e Comitiva para Brasília em Missão Oficial.;01:24:00;PT-MGS - PT-MGS;0087-2021;DTA;2021-11-23;BELO HORIZONTE;BRASILIA;GUSTAVO DE OLIVEIRA PRADO;Imprensa;Secretaria de Estado de Governo de Minas Gerais
Traslado do exmo. Governador de Minas e Comitiva para Brasília em Missão Oficial.;01:35:00;PT-MGS - PT-MGS;0088-2021;DTA;2021-11-23;BRASILIA;BELO HORIZONTE;GUSTAVO DE OLIVEIRA PRADO;Imprensa;Secretaria de Estado de Governo de Minas Gerais
Traslado do exmo. Governador de Minas e Comitiva para Brasília em Missão Oficial.;01:24:00;PT-MGS - PT-MGS;0087-2021;DTA;2021-11-23;BELO HORIZONTE;BRASILIA;Joaquim Francisco Neto e Silva;Chefe;Policia Civil de Minas Gerais
Traslado do exmo. Governador de Minas e Comitiva para Brasília em Missão Oficial.;01:35:00;PT-MGS - PT-MGS;0088-2021;DTA;2021-11-23;BRASILIA;BELO HORIZONTE;Joaquim Francisco Neto e Silva;Chefe;Policia Civil de Minas Gerais
Traslado do exmo. Governador de Minas e Comitiva para Brasília em Missão Oficial.;01:24:00;PT-MGS - PT-MGS;0087-2021;DTA;2021-11-23;BELO HORIZONTE;BRASILIA;Marcel Dornas Beghini;Secretário Adjunto;Secretaria Geral do Estado de Minas Gerais
