historico;horas_voadas;aeronave;numero_db;base;data_voo;origem;destino;passageiro;cargo_passageiro;orgao_passageiro
Cumprimento de agenda oficial do Governador no STF.;01:05:00;PT-MGS - PT-MGS;0092-2021;DTA;2021-12-21;BELO HORIZONTE;BRASILIA;Aline Brandão Silva;Assessora Cerimonial;Secretaria Geral do Estado de Minas Gerais
Cumprimento de agenda oficial do Governador no STF.;01:0000;PT-MGS - PT-MGS;0093-2021;DTA;2021-12-21;BRASILIA;BELO HORIZONTE;Aline Brandão Silva;Assessora Cerimonial;Secretaria Geral do Estado de Minas Gerais
Cumprimento de agenda oficial do Governador no STF.;01:05:00;PT-MGS - PT-MGS;0092-2021;DTA;2021-12-21;BELO HORIZONTE;BRASILIA;Marcel Dornas Beghini;Secretário Adjunto;Secretaria Geral do Estado de Minas Gerais
Cumprimento de agenda oficial do Governador no STF.;01:0000;PT-MGS - PT-MGS;0093-2021;DTA;2021-12-21;BRASILIA;BELO HORIZONTE;Marcel Dornas Beghini;Secretário Adjunto;Secretaria Geral do Estado de Minas Gerais
Cumprimento de agenda oficial do Governador no STF.;01:05:00;PT-MGS - PT-MGS;0092-2021;DTA;2021-12-21;BELO HORIZONTE;BRASILIA;Paulo Roberto Bermudes Rezende;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Cumprimento de agenda oficial do Governador no STF.;01:0000;PT-MGS - PT-MGS;0093-2021;DTA;2021-12-21;BRASILIA;BELO HORIZONTE;Paulo Roberto Bermudes Rezende;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Cumprimento de agenda oficial do Governador no STF.;01:05:00;PT-MGS - PT-MGS;0092-2021;DTA;2021-12-21;BELO HORIZONTE;BRASILIA;Romeu Zema Neto;Governador de Minas Gerais;Secretaria Geral do Estado de Minas Gerais
Cumprimento de agenda oficial do Governador no STF.;01:0000;PT-MGS - PT-MGS;0093-2021;DTA;2021-12-21;BRASILIA;BELO HORIZONTE;Romeu Zema Neto;Governador de Minas Gerais;Secretaria Geral do Estado de Minas Gerais
Cumprimento de agenda oficial do Governador no STF.;01:05:00;PT-MGS - PT-MGS;0092-2021;DTA;2021-12-21;BELO HORIZONTE;BRASILIA;Sérgio Pessoa de Paula Castro;Advogado Geral;Advocacia-Geral do Estado de Minas Gerais
Cumprimento de agenda oficial do Governador no STF.;01:0000;PT-MGS - PT-MGS;0093-2021;DTA;2021-12-21;BRASILIA;BELO HORIZONTE;Sérgio Pessoa de Paula Castro;Advogado Geral;Advocacia-Geral do Estado de Minas Gerais
