historico;horas_voadas;aernova;numero_db;base;data_voo;origem;destino;passageiro;cargo_passageiro;orgao_passageiro
Traslado do Exmo. Governador de Minas e Comitiva para as cidades de Ipatinga, Governador Valadares e Araxá/MG;01:12:00;PP-LCE - PÉGASUS 24;0176-2025;DTA;2025-11-14;GOVERNADOR VALADARES;ARAXA;Alexander Duarte Marinho;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Governador de Minas e Comitiva para as cidades de Ipatinga, Governador Valadares e Araxá/MG;01:12:00;PP-LCE - PÉGASUS 24;0176-2025;DTA;2025-11-14;GOVERNADOR VALADARES;ARAXA;Andre Valadares da Cruz;Videomaker;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Governador de Minas e Comitiva para as cidades de Ipatinga, Governador Valadares e Araxá/MG;01:12:00;PP-LCE - PÉGASUS 24;0176-2025;DTA;2025-11-14;GOVERNADOR VALADARES;ARAXA;Eric da Cruz Gonçalves;Assessor Especial;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Governador de Minas e Comitiva para as cidades de Ipatinga, Governador Valadares e Araxá/MG;01:12:00;PP-LCE - PÉGASUS 24;0176-2025;DTA;2025-11-14;GOVERNADOR VALADARES;ARAXA;Lucas Pinto Simões;Imprensa;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Governador de Minas e Comitiva para as cidades de Ipatinga, Governador Valadares e Araxá/MG;01:12:00;PP-LCE - PÉGASUS 24;0176-2025;DTA;2025-11-14;GOVERNADOR VALADARES;ARAXA;Romeu Zema Neto;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Ubá (agenda Cataguases) e Araxá.;01:06:00;PP-LCE - PÉGASUS 24;0047-2025;DTA;2025-02-27;UBA;ARAXA;Alexander Duarte Marinho;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Ubá (agenda Cataguases) e Araxá.;01:06:00;PP-LCE - PÉGASUS 24;0047-2025;DTA;2025-02-27;UBA;ARAXA;Eric da Cruz Gonçalves;Assessor Especial;Secretaria de Estado de Comunicação Social
Traslado do Exmo Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Ubá (agenda Cataguases) e Araxá.;01:06:00;PP-LCE - PÉGASUS 24;0047-2025;DTA;2025-02-27;UBA;ARAXA;Filipe Natanael Correa Cardoso;Assessor de Redes Sociais;Secretaria de Estado de Comunicação Social
Traslado do Exmo Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Ubá (agenda Cataguases) e Araxá.;01:06:00;PP-LCE - PÉGASUS 24;0047-2025;DTA;2025-02-27;UBA;ARAXA;Romeu Zema Neto;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e comitiva até as cidades de Uberaba,  Araxá x Ribeirão Preto e São Paulo(Congonhas).;00:30:00;PP-LCE - PÉGASUS 24;0074-2025;DTA;2025-04-26;UBERABA;ARAXA;Aluísio Eduardo Caetano de Medeiros;Superintendente de Comunicação Digital;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Governador de Minas e comitiva até as cidades de Uberaba,  Araxá x Ribeirão Preto e São Paulo(Congonhas).;00:30:00;PP-LCE - PÉGASUS 24;0074-2025;DTA;2025-04-26;UBERABA;ARAXA;Eric da Cruz Gonçalves;Assessor Especial;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Governador de Minas e comitiva até as cidades de Uberaba,  Araxá x Ribeirão Preto e São Paulo(Congonhas).;00:30:00;PP-LCE - PÉGASUS 24;0074-2025;DTA;2025-04-26;UBERABA;ARAXA;Marcos Eduardo Civatti;2º Ten PM/Agente de Segurança;Gabinete Militar do Governador
Traslado do Exmo. Governador de Minas e comitiva até as cidades de Uberaba,  Araxá x Ribeirão Preto e São Paulo(Congonhas).;00:30:00;PP-LCE - PÉGASUS 24;0074-2025;DTA;2025-04-26;UBERABA;ARAXA;Rafael Neves de Andrade;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Governador de Minas e comitiva até as cidades de Uberaba,  Araxá x Ribeirão Preto e São Paulo(Congonhas).;00:30:00;PP-LCE - PÉGASUS 24;0074-2025;DTA;2025-04-26;UBERABA;ARAXA;Romeu Zema Neto;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Brasília/DF, Uberaba/MG e Araxá/MG;00:30:00;PP-EJO - PEGASUS 17;0185-2025;EsAF;2025-12-19;UBERABA;ARAXA;Andre Valadares da Cruz;Videomaker;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Brasília/DF, Uberaba/MG e Araxá/MG;00:30:00;PP-EJO - PEGASUS 17;0185-2025;EsAF;2025-12-19;UBERABA;ARAXA;Dirceu Aurélio Pereira;Fotógrafo;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Brasília/DF, Uberaba/MG e Araxá/MG;00:30:00;PP-EJO - PEGASUS 17;0185-2025;EsAF;2025-12-19;UBERABA;ARAXA;Eric da Cruz Gonçalves;Assessor Especial;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Brasília/DF, Uberaba/MG e Araxá/MG;00:30:00;PP-EJO - PEGASUS 17;0185-2025;EsAF;2025-12-19;UBERABA;ARAXA;Rafael Luiz Rebuiti Passos;Assessor de Imprensa;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Brasília/DF, Uberaba/MG e Araxá/MG;00:30:00;PP-EJO - PEGASUS 17;0185-2025;EsAF;2025-12-19;UBERABA;ARAXA;Rafael Neves de Andrade;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Brasília/DF, Uberaba/MG e Araxá/MG;00:30:00;PP-EJO - PEGASUS 17;0185-2025;EsAF;2025-12-19;UBERABA;ARAXA;Romeu Zema Neto;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Ponte Nova,  Viçosa e Araxá.;01:24:00;PR-OSO - PEGASUS 16;0011-2025;EsAF;2025-01-30;VICOSA;ARAXA;Eric da Cruz Gonçalves;Assessor Especial;Secretaria de Estado de Comunicação Social
Traslado do Exmo Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Ponte Nova,  Viçosa e Araxá.;01:24:00;PR-OSO - PEGASUS 16;0011-2025;EsAF;2025-01-30;VICOSA;ARAXA;Rafael Neves de Andrade;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Ponte Nova,  Viçosa e Araxá.;01:24:00;PR-OSO - PEGASUS 16;0011-2025;EsAF;2025-01-30;VICOSA;ARAXA;Romeu Zema Neto;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
