historico;horas_voadas;aeronave;numero_db;base;data_voo;origem;destino;passageiro;cargo_passageiro;orgao_passageiro
Traslado do Exmo. Governador de Minas e Comitiva até a cidade de Brasília/DF.;01:30:00;PT-MGS - PT-MGS;0001-2024;DTA;2024-01-08;BELO HORIZONTE;BRASILIA;Rafael Neves de Andrade;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Governador de Minas e Comitiva da cidade de Brasília/DF para BH.;01:44:00;PR-XAA - PEGASUS 23;0006-2024;EsAF;2024-01-08;BRASILIA;BELO HORIZONTE;Rafael Neves de Andrade;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Governador de Minas e Comitiva da cidade de Brasília/DF para BH.;01:44:00;PR-XAA - PEGASUS 23;0006-2024;EsAF;2024-01-08;BRASILIA;BELO HORIZONTE;Marcelo Guilherme de Aro Ferreira;Secretário de Estado;Secretaria de Estado da Casa Civil e Relações Institucionais
Traslado do Exmo. Governador de Minas e Comitiva até a cidade de Brasília/DF.;01:30:00;PT-MGS - PT-MGS;0001-2024;DTA;2024-01-08;BELO HORIZONTE;BRASILIA;Marcelo Guilherme de Aro Ferreira;Secretário de Estado;Secretaria de Estado da Casa Civil e Relações Institucionais
Traslado do Exmo. Governador de Minas e Comitiva até a cidade de Brasília/DF.;01:30:00;PT-MGS - PT-MGS;0001-2024;DTA;2024-01-08;BELO HORIZONTE;BRASILIA;Bernardo Henrique Miranda;Diretor Central de Relação com a Imprensa;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Governador de Minas e Comitiva da cidade de Brasília/DF para BH.;01:44:00;PR-XAA - PEGASUS 23;0006-2024;EsAF;2024-01-08;BRASILIA;BELO HORIZONTE;Bernardo Henrique Miranda;Diretor Central de Relação com a Imprensa;Secretaria de Estado de Comunicação Social
Traslado do Exmo. Governador de Minas e Comitiva até a cidade de Brasília/DF.;01:30:00;PT-MGS - PT-MGS;0001-2024;DTA;2024-01-08;BELO HORIZONTE;BRASILIA;Luiz Cláudio Fernandes Lourenço Gomes;Secretario(a) Adjunto(a);Secretaria de Estado de Fazenda de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva da cidade de Brasília/DF para BH.;01:44:00;PR-XAA - PEGASUS 23;0006-2024;EsAF;2024-01-08;BRASILIA;BELO HORIZONTE;Luiz Cláudio Fernandes Lourenço Gomes;Secretario(a) Adjunto(a);Secretaria de Estado de Fazenda de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva até a cidade de Brasília/DF.;01:30:00;PT-MGS - PT-MGS;0001-2024;DTA;2024-01-08;BELO HORIZONTE;BRASILIA;Andreza Gischewski Costa;Assessor Especial;Secretaria Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva da cidade de Brasília/DF para BH.;01:44:00;PR-XAA - PEGASUS 23;0006-2024;EsAF;2024-01-08;BRASILIA;BELO HORIZONTE;Andreza Gischewski Costa;Assessor Especial;Secretaria Geral do Estado de Minas Gerais
