historico;horas_voadas;aeronave;numero_db;base;data_voo;origem;destino;passageiro;cargo_passageiro;orgao_passageiro
Traslado do Exmo Sr. Governador de MG Sr. Romeu Zema Neto até a cidade de São Paulo/SP em cumprimento de agenda oficial.;01:30:00;PT-MGS - PT-MGS;0004-2023;DTA;2023-02-28;BELO HORIZONTE;SAO PAULO;Rodrigo Fontenelle de Araújo Miranda;Controlador-Geral;Controladoria-Geral do Estado de Minas Gerais
Traslado do Exmo Sr. Governador de MG Sr. Romeu Zema Neto até a cidade de São Paulo/SP em cumprimento de agenda oficial.;01:30:00;PT-MGS - PT-MGS;0004-2023;DTA;2023-02-28;BELO HORIZONTE;SAO PAULO;Alexander Duarte Marinho;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo Sr. Governador de MG Sr. Romeu Zema Neto até a cidade de São Paulo/SP em cumprimento de agenda oficial.;01:30:00;PT-MGS - PT-MGS;0004-2023;DTA;2023-02-28;BELO HORIZONTE;SAO PAULO;Aluísio Eduardo Caetano de Medeiros;Assessoria de Imprensa;Secretaria Geral do Estado de Minas Gerais
Traslado do Exmo Sr. Governador de MG Sr. Romeu Zema Neto até a cidade de São Paulo/SP em cumprimento de agenda oficial.;01:30:00;PT-MGS - PT-MGS;0004-2023;DTA;2023-02-28;BELO HORIZONTE;SAO PAULO;Andreza Gischewski Costa;Assessoria de Imprensa;Secretaria Geral do Estado de Minas Gerais
Traslado do Exmo Sr. Governador de MG Sr. Romeu Zema Neto até a cidade de São Paulo/SP em cumprimento de agenda oficial.;01:30:00;PT-MGS - PT-MGS;0004-2023;DTA;2023-02-28;BELO HORIZONTE;SAO PAULO;Bernardo Henrique Miranda;Diretoria Central de Relação com a Imprensa;Secretaria Geral do Estado de Minas Gerais
Traslado do Exmo Sr. Governador de MG Sr. Romeu Zema Neto até a cidade de São Paulo/SP em cumprimento de agenda oficial.;01:30:00;PT-MGS - PT-MGS;0004-2023;DTA;2023-02-28;BELO HORIZONTE;SAO PAULO;Eric da Cruz Gonçalves;Reporter;Secretaria Geral do Estado de Minas Gerais
Traslado do Exmo Sr. Governador de MG Sr. Romeu Zema Neto até a cidade de São Paulo/SP em cumprimento de agenda oficial.;01:30:00;PT-MGS - PT-MGS;0004-2023;DTA;2023-02-28;BELO HORIZONTE;SAO PAULO;Gilsian Pelli Leonardi;Fotógrafo;Secretaria Geral do Estado de Minas Gerais
Traslado do Exmo Sr. Governador de MG Sr. Romeu Zema Neto até a cidade de São Paulo/SP em cumprimento de agenda oficial.;01:30:00;PT-MGS - PT-MGS;0004-2023;DTA;2023-02-28;BELO HORIZONTE;SAO PAULO;Romeu Zema Neto;Governador de Minas Gerais;Secretaria Geral do Estado de Minas Gerais
Traslado do Exmo Sr. Governador de MG Sr. Romeu Zema Neto até a cidade de São Paulo/SP em cumprimento de agenda oficial.;01:00:00;PT-MGS - PT-MGS;0005-2023;DTA;2023-03-01;SAO PAULO;RIO DE JANEIRO;Rodrigo Fontenelle de Araújo Miranda;Controlador-Geral;Controladoria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais para Brasília em cumprimento de agenda oficial.;01:49:00;PR-XAA - PEGASUS 23;0005-2023;EsAF;2023-01-09;BELO HORIZONTE;BRASILIA;Adelino Bento Júnior;3º Sgt PM;Gabinete Militar do Governador
