historico;horas_voadas;aeronave;numero_db;base;data_voo;origem;destino;passageiro;cargo_passageiro;orgao_passageiro
Traslado do Exmo Governador de Minas e Comitiva em visita a Capitólio em função dos desastres causados pelas chuvas na região.;01:25:00;PP-EPO - PEGASUS 18;0004-2022;1ª BRAvE;2022-01-10;BELO HORIZONTE;CAPITOLIO;Edgar Estevo da Silva;Comandante-Geral;Corpo de Bombeiros Militar de Minas Gerais
Traslado de retorno, após abastecimento, para o local de embarque do Exmo Governador de Minas e Comitiva em visita a Capitólio em função dos desastres causados pelas chuvas na região.;00:25:00;PP-EPO - PEGASUS 18;0006-2022;1ª BRAvE;2022-01-10;CAPITOLIO;CAPITOLIO;Edgar Estevo da Silva;Comandante-Geral;Corpo de Bombeiros Militar de Minas Gerais
Traslado de retorno do Exmo Governador de Minas e Comitiva após visita a Capitólio, em função dos desastres causados pelas chuvas na região.;01:25:00;PP-EPO - PEGASUS 18;0007-2022;1ª BRAvE;2022-01-10;CAPITOLIO;BELO HORIZONTE;Edgar Estevo da Silva;Comandante-Geral;Corpo de Bombeiros Militar de Minas Gerais
Traslado do Exmo Governador de Minas e Comitiva em visita a Capitólio em função dos desastres causados pelas chuvas na região.;01:25:00;PP-EPO - PEGASUS 18;0004-2022;1ª BRAvE;2022-01-10;BELO HORIZONTE;CAPITOLIO;Osvaldo de Souza Marques;Cel PM / Chefe;Gabinete Militar do Governador
Traslado de retorno, após abastecimento, para o local de embarque do Exmo Governador de Minas e Comitiva em visita a Capitólio em função dos desastres causados pelas chuvas na região.;00:25:00;PP-EPO - PEGASUS 18;0006-2022;1ª BRAvE;2022-01-10;CAPITOLIO;CAPITOLIO;Osvaldo de Souza Marques;Cel PM / Chefe;Gabinete Militar do Governador
Traslado de retorno do Exmo Governador de Minas e Comitiva após visita a Capitólio, em função dos desastres causados pelas chuvas na região.;01:25:00;PP-EPO - PEGASUS 18;0007-2022;1ª BRAvE;2022-01-10;CAPITOLIO;BELO HORIZONTE;Osvaldo de Souza Marques;Cel PM / Chefe;Gabinete Militar do Governador
Traslado do Exmo Governador de Minas e Comitiva em visita a Capitólio em função dos desastres causados pelas chuvas na região.;01:25:00;PP-EPO - PEGASUS 18;0004-2022;1ª BRAvE;2022-01-10;BELO HORIZONTE;CAPITOLIO;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado de retorno do Exmo Governador de Minas e Comitiva após visita a Capitólio, em função dos desastres causados pelas chuvas na região.;01:25:00;PP-EPO - PEGASUS 18;0007-2022;1ª BRAvE;2022-01-10;CAPITOLIO;BELO HORIZONTE;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado de retorno, após abastecimento, para o local de embarque do Exmo Governador de Minas e Comitiva em visita a Capitólio em função dos desastres causados pelas chuvas na região.;00:25:00;PP-EPO - PEGASUS 18;0006-2022;1ª BRAvE;2022-01-10;CAPITOLIO;CAPITOLIO;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador;Não Informado
Traslado do Exmo Governador de Minas e Comitiva em visita a Capitólio em função dos desastres causados pelas chuvas na região.;01:25:00;PP-EPO - PEGASUS 18;0004-2022;1ª BRAvE;2022-01-10;BELO HORIZONTE;CAPITOLIO;Andreza Gischewski Costa;Assessora de Imprensa;Secretaria Geral do Estado de Minas Gerais
Traslado de retorno, após abastecimento, para o local de embarque do Exmo Governador de Minas e Comitiva em visita a Capitólio em função dos desastres causados pelas chuvas na região.;00:25:00;PP-EPO - PEGASUS 18;0006-2022;1ª BRAvE;2022-01-10;CAPITOLIO;CAPITOLIO;Andreza Gischewski Costa;Assessora de Imprensa;Secretaria Geral do Estado de Minas Gerais
Traslado de retorno do Exmo Governador de Minas e Comitiva após visita a Capitólio, em função dos desastres causados pelas chuvas na região.;01:25:00;PP-EPO - PEGASUS 18;0007-2022;1ª BRAvE;2022-01-10;CAPITOLIO;BELO HORIZONTE;Andreza Gischewski Costa;Assessora de Imprensa;Secretaria Geral do Estado de Minas Gerais
Traslado do Exmo Governador de Minas e Comitiva em visita a Capitólio em função dos desastres causados pelas chuvas na região.;01:25:00;PP-EPO - PEGASUS 18;0004-2022;1ª BRAvE;2022-01-10;BELO HORIZONTE;CAPITOLIO;Romeu Zema Neto;Governador de Minas Gerais;Secretaria Geral do Estado de Minas Gerais
