historico;horas_voadas;aeronave;numero_db;base;data_voo;origem;destino;passageiro;cargo_passageiro;orgao_passageiro
Traslado do Exmo Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Cana Verde/MG. ;00:33:00;PP-EJJ - PEGASUS 07;0153-2026;1ª BRAvE;14/06/2026;DIVINOPOLIS;CANA VERDE;Weivel Maklis Gomes Freitas;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Cana Verde/MG. ;00:46:00;PP-EJJ - PEGASUS 07;0154-2026;1ª BRAvE;14/06/2026;CANA VERDE;LUZ;Weivel Maklis Gomes Freitas;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Montes Claros/MG, Rio Pardo de Minas/MG, Janaúba/MG, São Francisco/MG e Pintópolis/MG;01:07:00;PP-EJJ - PEGASUS 07;0204-2026;3ª BRAvE;30/06/2026;MONTES CLAROS;RIO PARDO DE MINAS;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador ;Gabinete Militar do Governador
Traslado do Exmo sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Montes Claros/MG, Rio Pardo de Minas/MG, Janaúba/MG, São Francisco/MG e Pintópolis/MG;00:24:00;PP-EJJ - PEGASUS 07;0205-2026;3ª BRAvE;30/06/2026;RIO PARDO DE MINAS;JANAUBA;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador ;Gabinete Militar do Governador
Traslado do Exmo sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Montes Claros/MG, Rio Pardo de Minas/MG, Janaúba/MG, São Francisco/MG e Pintópolis/MG;00:36:00;PP-EJJ - PEGASUS 07;0206-2026;3ª BRAvE;30/06/2026;JANAUBA;MONTES CLAROS;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador ;Gabinete Militar do Governador
Traslado do Exmo Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Cana Verde/MG. ;00:33:00;PP-EJJ - PEGASUS 07;0153-2026;1ª BRAvE;14/06/2026;DIVINOPOLIS;CANA VERDE;Matheus Souza Fonseca;Assessor (a);Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Cana Verde/MG. ;00:46:00;PP-EJJ - PEGASUS 07;0154-2026;1ª BRAvE;14/06/2026;CANA VERDE;LUZ;Matheus Souza Fonseca;Assessor (a);Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Montes Claros/MG, Rio Pardo de Minas/MG, Janaúba/MG, São Francisco/MG e Pintópolis/MG;01:07:00;PP-EJJ - PEGASUS 07;0204-2026;3ª BRAvE;30/06/2026;MONTES CLAROS;RIO PARDO DE MINAS;Larissa Rodrigues Dias;Chefe de Gabinete;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Montes Claros/MG, Rio Pardo de Minas/MG, Janaúba/MG, São Francisco/MG e Pintópolis/MG;00:24:00;PP-EJJ - PEGASUS 07;0205-2026;3ª BRAvE;30/06/2026;RIO PARDO DE MINAS;JANAUBA;Larissa Rodrigues Dias;Chefe de Gabinete;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Montes Claros/MG, Rio Pardo de Minas/MG, Janaúba/MG, São Francisco/MG e Pintópolis/MG;00:36:00;PP-EJJ - PEGASUS 07;0206-2026;3ª BRAvE;30/06/2026;JANAUBA;MONTES CLAROS;Larissa Rodrigues Dias;Chefe de Gabinete;Secretaria-Geral do Estado de Minas Gerais
