historico;horas_voadas;aeronave;numero_db;base;data_voo;origem;destino;passageiro;cargo_passageiro;orgao_passageiro
Traslado do Exmo sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Montes Claros/MG, Rio Pardo de Minas/MG, Janaúba/MG, São Francisco/MG e Pintópolis/MG;00:36:00;PP-EJJ - PEGASUS 07;0206-2026;3ª BRAvE;30/06/2026;JANAUBA;MONTES CLAROS;Castellar Modesto Guimarães Neto;Consultor de Articulação Política;Secretaria de Estado de Governo
Traslado do Exmo Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Cana Verde/MG. ;00:33:00;PP-EJJ - PEGASUS 07;0153-2026;1ª BRAvE;14/06/2026;DIVINOPOLIS;CANA VERDE;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Cana Verde/MG. ;00:46:00;PP-EJJ - PEGASUS 07;0154-2026;1ª BRAvE;14/06/2026;CANA VERDE;LUZ;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Montes Claros/MG, Rio Pardo de Minas/MG, Janaúba/MG, São Francisco/MG e Pintópolis/MG;01:07:00;PP-EJJ - PEGASUS 07;0204-2026;3ª BRAvE;30/06/2026;MONTES CLAROS;RIO PARDO DE MINAS;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Montes Claros/MG, Rio Pardo de Minas/MG, Janaúba/MG, São Francisco/MG e Pintópolis/MG;00:24:00;PP-EJJ - PEGASUS 07;0205-2026;3ª BRAvE;30/06/2026;RIO PARDO DE MINAS;JANAUBA;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Montes Claros/MG, Rio Pardo de Minas/MG, Janaúba/MG, São Francisco/MG e Pintópolis/MG;00:36:00;PP-EJJ - PEGASUS 07;0206-2026;3ª BRAvE;30/06/2026;JANAUBA;MONTES CLAROS;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo sr. Governador do Estado de Minas Gerais e comitiva para as cidades de Montes Claros/MG, Rio Pardo de Minas/MG, Janaúba/MG, São Francisco/MG e Pintópolis/MG;01:52:00;PP-EJJ - PEGASUS 07;0203-2026;1ª BRAvE;28/06/2026;BELO HORIZONTE;MONTES CLAROS;Leônidas José de Oliveira;Secretário de Estado;Secretaria de Estado de Cultura e Turismo
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;01:28:00;PP-EJK - PEGASUS 08;0103-2026;2ª BRAvE;06/05/2026;UBERLANDIA;PARACATU;Luiz Henrique de Rezende;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;00:45:00;PP-EJK - PEGASUS 08;0104-2026;2ª BRAvE;06/05/2026;PARACATU;CABECEIRA GRANDE;Luiz Henrique de Rezende;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;00:47:00;PP-EJK - PEGASUS 08;0105-2026;2ª BRAvE;06/05/2026;CABECEIRA GRANDE;PARACATU;Luiz Henrique de Rezende;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;00:41:00;PP-EJK - PEGASUS 08;0106-2026;2ª BRAvE;07/05/2026;PARACATU;UNAI;Luiz Henrique de Rezende;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;01:05:00;PP-EJK - PEGASUS 08;0107-2026;2ª BRAvE;07/05/2026;UNAI;CHAPADA GAUCHA;Luiz Henrique de Rezende;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;01:17:00;PP-EJK - PEGASUS 08;0108-2026;2ª BRAvE;07/05/2026;CHAPADA GAUCHA;PARACATU;Luiz Henrique de Rezende;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;01:27:00;PP-EJK - PEGASUS 08;0109-2026;2ª BRAvE;08/05/2026;PARACATU;SANTA ROSA DA SERRA;Luiz Henrique de Rezende;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;01:32:00;PP-EJK - PEGASUS 08;0110-2026;2ª BRAvE;08/05/2026;SANTA ROSA DA SERRA;PARACATU;Luiz Henrique de Rezende;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para a cidade de Coromandel/MG, Monte Carmelo/MG e Abadia dos Dourados/MG.;00:48:00;PP-EJK - PEGASUS 08;0064-2026;2ª BRAvE;2026-03-27 00:00:00;UBERLANDIA;COROMANDEL;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador ;Gabinete Militar do Governador
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para a cidade de Coromandel/MG, Monte Carmelo/MG e Abadia dos Dourados/MG.;00:18:00;PP-EJK - PEGASUS 08;0065-2026;2ª BRAvE;2026-03-27 00:00:00;COROMANDEL;MONTE CARMELO;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador ;Gabinete Militar do Governador
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para a cidade de Coromandel/MG, Monte Carmelo/MG e Abadia dos Dourados/MG.;00:18:00;PP-EJK - PEGASUS 08;0066-2026;2ª BRAvE;2026-03-27 00:00:00;MONTE CARMELO;ABADIA DOS DOURADOS;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador ;Gabinete Militar do Governador
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para a cidade de Coromandel/MG, Monte Carmelo/MG e Abadia dos Dourados/MG.;00:30:00;PP-EJK - PEGASUS 08;0067-2026;2ª BRAvE;2026-03-27 00:00:00;ABADIA DOS DOURADOS;UBERLANDIA;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador ;Gabinete Militar do Governador
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para a cidade de Coromandel/MG, Monte Carmelo/MG e Abadia dos Dourados/MG.;00:48:00;PP-EJK - PEGASUS 08;0064-2026;2ª BRAvE;2026-03-27 00:00:00;UBERLANDIA;COROMANDEL;Matheus Souza Fonseca;Assessor (a);Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para a cidade de Coromandel/MG, Monte Carmelo/MG e Abadia dos Dourados/MG.;00:30:00;PP-EJK - PEGASUS 08;0067-2026;2ª BRAvE;2026-03-27 00:00:00;ABADIA DOS DOURADOS;UBERLANDIA;Matheus Souza Fonseca;Assessor (a);Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;00:47:00;PP-EJK - PEGASUS 08;0105-2026;2ª BRAvE;06/05/2026;CABECEIRA GRANDE;PARACATU;Matheus Souza Fonseca;Assessor (a);Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para a cidade de Coromandel/MG, Monte Carmelo/MG e Abadia dos Dourados/MG.;00:48:00;PP-EJK - PEGASUS 08;0064-2026;2ª BRAvE;2026-03-27 00:00:00;UBERLANDIA;COROMANDEL;Castellar Modesto Guimarães Neto;Consultor de Articulação Política;Secretaria de Estado de Governo
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para a cidade de Coromandel/MG, Monte Carmelo/MG e Abadia dos Dourados/MG.;00:18:00;PP-EJK - PEGASUS 08;0065-2026;2ª BRAvE;2026-03-27 00:00:00;COROMANDEL;MONTE CARMELO;Castellar Modesto Guimarães Neto;Consultor de Articulação Política;Secretaria de Estado de Governo
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para a cidade de Coromandel/MG, Monte Carmelo/MG e Abadia dos Dourados/MG.;00:18:00;PP-EJK - PEGASUS 08;0066-2026;2ª BRAvE;2026-03-27 00:00:00;MONTE CARMELO;ABADIA DOS DOURADOS;Castellar Modesto Guimarães Neto;Consultor de Articulação Política;Secretaria de Estado de Governo
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para a cidade de Coromandel/MG, Monte Carmelo/MG e Abadia dos Dourados/MG.;00:30:00;PP-EJK - PEGASUS 08;0067-2026;2ª BRAvE;2026-03-27 00:00:00;ABADIA DOS DOURADOS;UBERLANDIA;Castellar Modesto Guimarães Neto;Consultor de Articulação Política;Secretaria de Estado de Governo
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;01:27:00;PP-EJK - PEGASUS 08;0109-2026;2ª BRAvE;08/05/2026;PARACATU;SANTA ROSA DA SERRA;João Bosco;Deputado(a) Estadual;Assembleia Legislativa do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;01:32:00;PP-EJK - PEGASUS 08;0110-2026;2ª BRAvE;08/05/2026;SANTA ROSA DA SERRA;PARACATU;João Bosco;Deputado(a) Estadual;Assembleia Legislativa do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para a cidade de Coromandel/MG, Monte Carmelo/MG e Abadia dos Dourados/MG.;00:48:00;PP-EJK - PEGASUS 08;0064-2026;2ª BRAvE;2026-03-27 00:00:00;UBERLANDIA;COROMANDEL;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para a cidade de Coromandel/MG, Monte Carmelo/MG e Abadia dos Dourados/MG.;00:18:00;PP-EJK - PEGASUS 08;0065-2026;2ª BRAvE;2026-03-27 00:00:00;COROMANDEL;MONTE CARMELO;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para a cidade de Coromandel/MG, Monte Carmelo/MG e Abadia dos Dourados/MG.;00:18:00;PP-EJK - PEGASUS 08;0066-2026;2ª BRAvE;2026-03-27 00:00:00;MONTE CARMELO;ABADIA DOS DOURADOS;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para a cidade de Coromandel/MG, Monte Carmelo/MG e Abadia dos Dourados/MG.;00:30:00;PP-EJK - PEGASUS 08;0067-2026;2ª BRAvE;2026-03-27 00:00:00;ABADIA DOS DOURADOS;UBERLANDIA;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;01:28:00;PP-EJK - PEGASUS 08;0103-2026;2ª BRAvE;06/05/2026;UBERLANDIA;PARACATU;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;00:45:00;PP-EJK - PEGASUS 08;0104-2026;2ª BRAvE;06/05/2026;PARACATU;CABECEIRA GRANDE;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;00:47:00;PP-EJK - PEGASUS 08;0105-2026;2ª BRAvE;06/05/2026;CABECEIRA GRANDE;PARACATU;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;00:41:00;PP-EJK - PEGASUS 08;0106-2026;2ª BRAvE;07/05/2026;PARACATU;UNAI;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;01:05:00;PP-EJK - PEGASUS 08;0107-2026;2ª BRAvE;07/05/2026;UNAI;CHAPADA GAUCHA;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;01:17:00;PP-EJK - PEGASUS 08;0108-2026;2ª BRAvE;07/05/2026;CHAPADA GAUCHA;PARACATU;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;01:27:00;PP-EJK - PEGASUS 08;0109-2026;2ª BRAvE;08/05/2026;PARACATU;SANTA ROSA DA SERRA;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;01:32:00;PP-EJK - PEGASUS 08;0110-2026;2ª BRAvE;08/05/2026;SANTA ROSA DA SERRA;PARACATU;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;00:41:00;PP-EJK - PEGASUS 08;0106-2026;2ª BRAvE;07/05/2026;PARACATU;UNAI;Christiana Noronha Renault de Almeida;Presidente;Serviço Social Autonômo - SERVAS
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;01:05:00;PP-EJK - PEGASUS 08;0107-2026;2ª BRAvE;07/05/2026;UNAI;CHAPADA GAUCHA;Christiana Noronha Renault de Almeida;Presidente;Serviço Social Autonômo - SERVAS
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;01:17:00;PP-EJK - PEGASUS 08;0108-2026;2ª BRAvE;07/05/2026;CHAPADA GAUCHA;PARACATU;Christiana Noronha Renault de Almeida;Presidente;Serviço Social Autonômo - SERVAS
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;01:27:00;PP-EJK - PEGASUS 08;0109-2026;2ª BRAvE;08/05/2026;PARACATU;SANTA ROSA DA SERRA;Christiana Noronha Renault de Almeida;Presidente;Serviço Social Autonômo - SERVAS
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Francisco/MG, Cabeceira Grande, Chapada Gaúcha, Santa Rosa da Serra/MG.;01:32:00;PP-EJK - PEGASUS 08;0110-2026;2ª BRAvE;08/05/2026;SANTA ROSA DA SERRA;PARACATU;Christiana Noronha Renault de Almeida;Presidente;Serviço Social Autonômo - SERVAS
Traslado do Exmo. Governador de Minas e Comitiva de Governador Valadares até as cidades de Virginópolis/MG e Cantagalo/MG;00:25:00;PP-EJL - PEGASUS 09;0182-2026;5ª BRAvE;18/06/2026;GOVERNADOR VALADARES;VIRGINÓPOLIS;Luiz Henrique de Rezende;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Governador de Minas e Comitiva de Governador Valadares até as cidades de Virginópolis/MG e Cantagalo/MG;00:28:00;PP-EJL - PEGASUS 09;0184-2026;5ª BRAvE;18/06/2026;CANTAGALO;GOVERNADOR VALADARES;Luiz Henrique de Rezende;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Governador de Minas e Comitiva de Governador Valadares até as cidades de Virginópolis/MG e Cantagalo/MG;00:25:00;PP-EJL - PEGASUS 09;0182-2026;5ª BRAvE;18/06/2026;GOVERNADOR VALADARES;VIRGINÓPOLIS;Matheus Souza Fonseca;Assessor (a);Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva de Governador Valadares até as cidades de Virginópolis/MG e Cantagalo/MG;00:28:00;PP-EJL - PEGASUS 09;0184-2026;5ª BRAvE;18/06/2026;CANTAGALO;GOVERNADOR VALADARES;Matheus Souza Fonseca;Assessor (a);Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva de Governador Valadares até as cidades de Virginópolis/MG e Cantagalo/MG;00:25:00;PP-EJL - PEGASUS 09;0182-2026;5ª BRAvE;18/06/2026;GOVERNADOR VALADARES;VIRGINÓPOLIS;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva de Governador Valadares até as cidades de Virginópolis/MG e Cantagalo/MG;00:28:00;PP-EJL - PEGASUS 09;0184-2026;5ª BRAvE;18/06/2026;CANTAGALO;GOVERNADOR VALADARES;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva de Governador Valadares até as cidades de Virginópolis/MG e Cantagalo/MG;00:25:00;PP-EJL - PEGASUS 09;0182-2026;5ª BRAvE;18/06/2026;GOVERNADOR VALADARES;VIRGINÓPOLIS;Christiana Noronha Renault de Almeida;Presidente;Serviço Social Autonômo - SERVAS
Traslado do Exmo. Governador de Minas e Comitiva de Governador Valadares até as cidades de Virginópolis/MG e Cantagalo/MG;00:28:00;PP-EJL - PEGASUS 09;0184-2026;5ª BRAvE;18/06/2026;CANTAGALO;GOVERNADOR VALADARES;Christiana Noronha Renault de Almeida;Presidente;Serviço Social Autonômo - SERVAS
Traslado do Exmo. Governador de Minas e Comitiva de Teófilo Otoni para Águas Formosas, Nanuque e Carlos Chagas.;00:42:00;PP-EJL - PEGASUS 09;0119-2026;5ª BRAvE;19/05/2026;TEOFILO OTONI;AGUAS FORMOSAS;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador ;Gabinete Militar do Governador
Traslado do Exmo. Governador de Minas e Comitiva de Teófilo Otoni para Águas Formosas, Nanuque e Carlos Chagas.;00:38:00;PP-EJL - PEGASUS 09;0120-2026;5ª BRAvE;19/05/2026;AGUAS FORMOSAS;TEOFILO OTONI;Lucas Tadeu Bonaccorsi;Ajudante de Ordens do Governador ;Gabinete Militar do Governador
Traslado do Exmo. Governador de Minas e Comitiva de Teófilo Otoni para Águas Formosas, Nanuque e Carlos Chagas.;00:42:00;PP-EJL - PEGASUS 09;0119-2026;5ª BRAvE;19/05/2026;TEOFILO OTONI;AGUAS FORMOSAS;Matheus Souza Fonseca;Assessor (a);Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva de Teófilo Otoni para Águas Formosas, Nanuque e Carlos Chagas.;00:38:00;PP-EJL - PEGASUS 09;0120-2026;5ª BRAvE;19/05/2026;AGUAS FORMOSAS;TEOFILO OTONI;Matheus Souza Fonseca;Assessor (a);Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva de Teófilo Otoni para Águas Formosas, Nanuque e Carlos Chagas.;00:42:00;PP-EJL - PEGASUS 09;0119-2026;5ª BRAvE;19/05/2026;TEOFILO OTONI;AGUAS FORMOSAS;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva de Teófilo Otoni para Águas Formosas, Nanuque e Carlos Chagas.;00:38:00;PP-EJL - PEGASUS 09;0120-2026;5ª BRAvE;19/05/2026;AGUAS FORMOSAS;TEOFILO OTONI;Mateus Simões de Almeida;Governador de Minas Gerais;Secretaria-Geral do Estado de Minas Gerais
Traslado do Exmo. Governador de Minas e Comitiva de Teófilo Otoni para Águas Formosas, Nanuque e Carlos Chagas.;00:42:00;PP-EJL - PEGASUS 09;0119-2026;5ª BRAvE;19/05/2026;TEOFILO OTONI;AGUAS FORMOSAS;Christiana Noronha Renault de Almeida;Presidente;Serviço Social Autonômo - SERVAS
Traslado do Exmo. Governador de Minas e Comitiva de Teófilo Otoni para Águas Formosas, Nanuque e Carlos Chagas.;00:38:00;PP-EJL - PEGASUS 09;0120-2026;5ª BRAvE;19/05/2026;AGUAS FORMOSAS;TEOFILO OTONI;Christiana Noronha Renault de Almeida;Presidente;Serviço Social Autonômo - SERVAS
Traslado do Exmo. Governador de Minas e Comitiva até as cidades de Divinópolis, Oliveira, Governador Valadares, Ipatinga e Montes Claros/MG.;00:18:00;PP-EJO - PEGASUS 17;0019-2026;EsAF;2026-02-10 00:00:00;DIVINOPOLIS;OLIVEIRA;Adelino Bento Júnior;3º Sargento PM;Gabinete Militar do Governador
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Paulo/SP, Ituiutaba/MG, Uberlândia/MG, Uberaba/MG e Araxá/MG.;02:00:00;PP-EJO - PEGASUS 17;0006-2026;EsAF;2026-01-28 00:00:00;BELO HORIZONTE;SAO PAULO;Alexander Duarte Marinho;Ajudante de Ordens do Governador;Gabinete Militar do Governador
Traslado do Exmo. Sr. Governador do Estado de Minas Gerais e comitiva para as cidades de São Paulo/SP, Ituiutaba/MG, Uberlândia/MG, Uberaba/MG e Araxá/MG.;01:42:00;PP-EJO - PEGASUS 17;0007-2026;EsAF;2026-01-29 00:00:00;SAO PAULO;ITUIUTABA;Alexander Duarte Marinho;Ajudante de Ordens do Governador;Gabinete Militar do Governador
